Partido,Cod_Prov,Cod_Part,stratum,p_bray
Azul,06,049,6049,6.6
Azul,06,049,6049,12.9
Azul,06,049,6049,16.9
Azul,06,049,6049,8.8
Azul,06,049,6049,18.6
Azul,06,049,6049,8.3
Azul,06,049,6049,4.9
Azul,06,049,6049,4.6
Azul,06,049,6049,6.2
Azul,06,049,6049,7.6
Azul,06,049,6049,9.6
Azul,06,049,6049,6.2
Azul,06,049,6049,3.7
Azul,06,049,6049,18.8
Azul,06,049,6049,11.7
Azul,06,049,6049,11.4
Azul,06,049,6049,12.8
Azul,06,049,6049,12.8
Azul,06,049,6049,7.5
Azul,06,049,6049,7.8
Azul,06,049,6049,4.7
Azul,06,049,6049,24.6
Azul,06,049,6049,9.1
Azul,06,049,6049,6.2
Azul,06,049,6049,8.3
Azul,06,049,6049,4.2
Azul,06,049,6049,4.9
Azul,06,049,6049,12.6
Azul,06,049,6049,3.7
Azul,06,049,6049,2.9
Azul,06,049,6049,4.1
Azul,06,049,6049,3.7
Azul,06,049,6049,5.2
Azul,06,049,6049,3.3
Azul,06,049,6049,10.3
Azul,06,049,6049,7.4
Azul,06,049,6049,5.1
Azul,06,049,6049,4.7
Azul,06,049,6049,6.3
Azul,06,049,6049,8.3
Azul,06,049,6049,10.5
Azul,06,049,6049,9.3
Azul,06,049,6049,11.3
Azul,06,049,6049,9.1
Azul,06,049,6049,11.9
Azul,06,049,6049,7.7
Azul,06,049,6049,37.5
Azul,06,049,6049,18.7
Azul,06,049,6049,11.1
Azul,06,049,6049,7.8
Azul,06,049,6049,9.7
Azul,06,049,6049,6.3
Azul,06,049,6049,4.5
Azul,06,049,6049,3.5
Azul,06,049,6049,7.82
Azul,06,049,6049,9.84
Azul,06,049,6049,16.71
Azul,06,049,6049,16.83
Azul,06,049,6049,10.67
Azul,06,049,6049,5.6
Azul,06,049,6049,3.8
Azul,06,049,6049,6.9
Azul,06,049,6049,3.6
Azul,06,049,6049,12.4
Bahia Blanca,06,056,6056,9.4
Bahia Blanca,06,056,6056,7.5
Bahia Blanca,06,056,6056,16.4
Bahia Blanca,06,056,6056,17.3
Bahia Blanca,06,056,6056,17.6
Bahia Blanca,06,056,6056,10
Bahia Blanca,06,056,6056,9.5
Bahia Blanca,06,056,6056,20.5
Bahia Blanca,06,056,6056,12
Bahia Blanca,06,056,6056,5.5
Bahia Blanca,06,056,6056,7
Bahia Blanca,06,056,6056,5
Bahia Blanca,06,056,6056,7.5
Bahia Blanca,06,056,6056,4
Bahia Blanca,06,056,6056,10
Bahia Blanca,06,056,6056,12
Bahia Blanca,06,056,6056,5
Bahia Blanca,06,056,6056,6
Bahia Blanca,06,056,6056,6
Bahia Blanca,06,056,6056,8.5
Bahia Blanca,06,056,6056,10
Bahia Blanca,06,056,6056,11
Bahia Blanca,06,056,6056,7
Bahia Blanca,06,056,6056,16.6
Bahia Blanca,06,056,6056,10.2
Bahia Blanca,06,056,6056,12.1
Bahia Blanca,06,056,6056,9.2
Bahia Blanca,06,056,6056,3.4
Bahia Blanca,06,056,6056,5.3
Bahia Blanca,06,056,6056,3.8
Bahia Blanca,06,056,6056,4.3
Bahia Blanca,06,056,6056,5.9
Bahia Blanca,06,056,6056,6.9
Bahia Blanca,06,056,6056,7.9
Bahia Blanca,06,056,6056,4.4
Bahia Blanca,06,056,6056,26
Bahia Blanca,06,056,6056,7.8
Bahia Blanca,06,056,6056,12.1
Bahia Blanca,06,056,6056,10.6
Bahia Blanca,06,056,6056,15.5
Bahia Blanca,06,056,6056,29
Balcarce,06,063,6063,6.3
Balcarce,06,063,6063,7.7
Balcarce,06,063,6063,10.0
Balcarce,06,063,6063,8.1
Balcarce,06,063,6063,19.7
Balcarce,06,063,6063,12.0
Balcarce,06,063,6063,7.9
Balcarce,06,063,6063,6.3
Balcarce,06,063,6063,8.7
Balcarce,06,063,6063,11.1
Balcarce,06,063,6063,7.2
Balcarce,06,063,6063,3.4
Balcarce,06,063,6063,4.5
Balcarce,06,063,6063,3.7
Balcarce,06,063,6063,3.8
Balcarce,06,063,6063,11.4
Balcarce,06,063,6063,7.8
Balcarce,06,063,6063,14.2
Balcarce,06,063,6063,17.4
Balcarce,06,063,6063,3.2
Balcarce,06,063,6063,8.02
Balcarce,06,063,6063,9.65
Balcarce,06,063,6063,5.58
Balcarce,06,063,6063,13.37
Balcarce,06,063,6063,11.86
Balcarce,06,063,6063,8.60
Balcarce,06,063,6063,52.31
Balcarce,06,063,6063,35.34
Balcarce,06,063,6063,4.52
Balcarce,06,063,6063,7.57
Balcarce,06,063,6063,4.29
Balcarce,06,063,6063,6.33
Balcarce,06,063,6063,11.30
Balcarce,06,063,6063,4.63
Balcarce,06,063,6063,4.41
Balcarce,06,063,6063,4.6
Balcarce,06,063,6063,4.6
Balcarce,06,063,6063,15.4
Balcarce,06,063,6063,10.3
Balcarce,06,063,6063,7.7
Balcarce,06,063,6063,17.3
Balcarce,06,063,6063,17.2
Balcarce,06,063,6063,21.02
Balcarce,06,063,6063,10.3
Balcarce,06,063,6063,12.3
Balcarce,06,063,6063,26.9
Balcarce,06,063,6063,16.5
Balcarce,06,063,6063,8.2
Balcarce,06,063,6063,6.9
Balcarce,06,063,6063,6.0
Balcarce,06,063,6063,4.7
Balcarce,06,063,6063,6.8
Balcarce,06,063,6063,6.8
Balcarce,06,063,6063,15.2
Balcarce,06,063,6063,8.9
Balcarce,06,063,6063,22.3
Balcarce,06,063,6063,16.3
Balcarce,06,063,6063,10.7
Balcarce,06,063,6063,10.9
Balcarce,06,063,6063,14.9
Balcarce,06,063,6063,12.9
Balcarce,06,063,6063,5.7
Balcarce,06,063,6063,11.2
Balcarce,06,063,6063,7.5
